,s,pCount,iCount,totalCount
0,http://www.wikidata.org/entity/Q2345820,6,77,83
1,http://www.wikidata.org/entity/Q75383929,25,9,34
2,http://www.wikidata.org/entity/Q75383789,22,9,31
3,http://www.wikidata.org/entity/Q75383898,19,8,27
4,http://www.wikidata.org/entity/Q75383962,17,8,25
5,http://www.wikidata.org/entity/Q75381740,16,7,23
6,http://www.wikidata.org/entity/Q75381746,16,7,23
7,http://www.wikidata.org/entity/Q75388879,18,5,23
8,http://www.wikidata.org/entity/Q75383965,17,5,22
9,http://www.wikidata.org/entity/Q75381747,17,4,21
10,http://www.wikidata.org/entity/Q75388762,16,5,21
11,http://www.wikidata.org/entity/Q75381641,15,2,17
12,http://www.wikidata.org/entity/Q51883211,13,2,15
13,http://www.wikidata.org/entity/Q63871198,12,2,14
14,http://www.wikidata.org/entity/Q75381653,12,2,14
15,http://www.wikidata.org/entity/Q103204559,8,5,13
16,http://www.wikidata.org/entity/Q75384830,9,4,13
17,http://www.wikidata.org/entity/Q75439192,11,2,13
18,http://www.wikidata.org/entity/Q75383853,11,2,13
19,http://www.wikidata.org/entity/Q75766932,11,2,13
20,http://www.wikidata.org/entity/Q103205296,8,5,13
21,http://www.wikidata.org/entity/Q75383284,10,3,13
22,http://www.wikidata.org/entity/Q75384890,10,3,13
23,http://www.wikidata.org/entity/Q75384888,10,3,13
24,http://www.wikidata.org/entity/Q75954636,9,4,13
25,http://www.wikidata.org/entity/Q75384751,10,3,13
26,http://www.wikidata.org/entity/Q75381440,10,3,13
27,http://www.wikidata.org/entity/Q75381438,10,3,13
28,http://www.wikidata.org/entity/Q75384309,11,2,13
29,http://www.wikidata.org/entity/Q75432180,10,2,12
30,http://www.wikidata.org/entity/Q75439817,10,2,12
31,http://www.wikidata.org/entity/Q110087135,10,2,12
32,http://www.wikidata.org/entity/Q75784902,10,2,12
33,http://www.wikidata.org/entity/Q75805088,10,2,12
34,http://www.wikidata.org/entity/Q75381580,10,2,12
35,http://www.wikidata.org/entity/Q75384833,8,4,12
36,http://www.wikidata.org/entity/Q76371371,9,2,11
37,http://www.wikidata.org/entity/Q75381656,9,2,11
38,http://www.wikidata.org/entity/Q75381654,9,2,11
39,http://www.wikidata.org/entity/Q75381652,9,2,11
40,http://www.wikidata.org/entity/Q76345966,9,2,11
41,http://www.wikidata.org/entity/Q76329758,9,2,11
42,http://www.wikidata.org/entity/Q75381650,9,2,11
43,http://www.wikidata.org/entity/Q76327922,9,2,11
44,http://www.wikidata.org/entity/Q75384090,9,2,11
45,http://www.wikidata.org/entity/Q75381646,9,2,11
46,http://www.wikidata.org/entity/Q75381606,9,2,11
47,http://www.wikidata.org/entity/Q75381495,9,2,11
48,http://www.wikidata.org/entity/Q75387582,9,2,11
49,http://www.wikidata.org/entity/Q75384866,9,2,11
50,http://www.wikidata.org/entity/Q75385617,9,2,11
51,http://www.wikidata.org/entity/Q76086159,9,2,11
52,http://www.wikidata.org/entity/Q76079756,9,2,11
53,http://www.wikidata.org/entity/Q76079726,9,2,11
54,http://www.wikidata.org/entity/Q76067765,9,2,11
55,http://www.wikidata.org/entity/Q76066593,9,2,11
56,http://www.wikidata.org/entity/Q75940347,9,2,11
57,http://www.wikidata.org/entity/Q75867855,9,2,11
58,http://www.wikidata.org/entity/Q75867853,9,2,11
59,http://www.wikidata.org/entity/Q75766428,9,2,11
60,http://www.wikidata.org/entity/Q75761742,9,2,11
61,http://www.wikidata.org/entity/Q75649948,9,2,11
62,http://www.wikidata.org/entity/Q75558732,9,2,11
63,http://www.wikidata.org/entity/Q75527648,9,2,11
64,http://www.wikidata.org/entity/Q75526906,9,2,11
65,http://www.wikidata.org/entity/Q75526905,9,2,11
66,http://www.wikidata.org/entity/Q75524721,9,2,11
67,http://www.wikidata.org/entity/Q75437280,9,2,11
68,http://www.wikidata.org/entity/Q75388730,9,2,11
69,http://www.wikidata.org/entity/Q75388729,9,2,11
70,http://www.wikidata.org/entity/Q76110858,9,2,11
71,http://www.wikidata.org/entity/Q76298606,8,2,10
72,http://www.wikidata.org/entity/Q75572953,7,2,9
73,http://www.wikidata.org/entity/Q75798636,7,2,9
74,http://www.wikidata.org/entity/Q75928004,7,2,9
75,http://www.wikidata.org/entity/Q75389959,7,2,9
76,http://www.wikidata.org/entity/Q110086827,7,2,9
